ID,JJ,n,age,adjhlg,adjhlgSE,method,sex,yr
45U,114,2,2,17.63827974337644,3.3334193871091506,mixed,female,1991
49U,12,2,2,9.016905129520435,4.030290565194873,mixed,female,1991
49U,114,2,2,13.620218555961124,3.3018620427754026,mixed,female,1991
50U,12,2,2,11.52095171092369,4.008746069421863,mixed,female,1991
50U,114,2,2,14.495019623428561,3.2935072954747873,mixed,female,1991
51T,12,2,3,16.89777637627809,4.16360311080278,mixed,female,1991
51T,114,2,3,18.573812352430185,3.4238982674295144,mixed,female,1991
58T,114,2,3,19.104226934772896,3.2424950880930337,mixed,female,1991
58T,12,2,3,19.195953408636974,3.9773867511439605,mixed,female,1991
5T,114,2,4,18.723430512682476,3.240283496456899,mixed,female,1991
5T,12,2,4,18.69041511778067,3.972034794058274,mixed,female,1991
5U,114,2,2,20.754559823624778,3.306333653225139,mixed,female,1991
5U,12,2,2,16.047265706086147,4.129952730024927,mixed,female,1991
6S,114,2,4,17.987842889050874,3.4111308238840676,mixed,female,1991
6S,12,2,4,18.448058002320565,4.144916070623591,mixed,female,1991
7U,12,3,2,16.102436509319666,4.290279733066618,mixed,female,1991
7U,114,3,2,19.07244634707157,3.371096433134552,mixed,female,1991
9T,114,2,3,24.874418412592206,3.365819662039553,mixed,female,1991
9T,12,2,3,24.647598948965374,4.166863323440494,mixed,female,1991
10L,12,3,11,25.382369255271097,4.66063784506849,mixed,female,1992
10L,114,3,11,25.93909414520556,3.701775110192377,mixed,female,1992
10P,114,4,8,31.864968795353015,3.6290449054349807,mixed,female,1992
10P,12,4,8,31.36861699961776,4.517818866770946,mixed,female,1992
10T,12,3,4,25.322625897314353,4.8278090154802555,mixed,female,1992
10T,114,3,4,26.135371885541684,3.857711056377661,mixed,female,1992
11F,12,2,17,21.83073723419465,4.659445425243943,mixed,female,1992
11F,114,2,17,22.692911955559396,3.6900307654794804,mixed,female,1992
11I,114,5,14,25.562918781009042,3.7596228692003604,mixed,female,1992
11I,12,5,14,24.918595172386084,4.660189081676856,mixed,female,1992
11T,12,2,4,21.39654243645596,4.6436099718563595,mixed,female,1992
11T,114,2,4,23.314966652359285,3.740741400786533,mixed,female,1992
11V,114,3,2,13.711410685713183,3.6975164367639892,mixed,female,1992
11V,12,3,2,10.232595627300478,4.592727975991885,mixed,female,1992
12L,12,3,11,27.035096113340956,4.653490200192236,mixed,female,1992
12L,114,3,11,27.57723076969122,3.7210871874811464,mixed,female,1992
12P,12,3,8,26.197859900620116,5.011661629111787,mixed,female,1992
12P,114,3,8,26.159854688962817,3.9675717582408923,mixed,female,1992
12T,12,3,4,22.84288874380838,4.661904165054751,mixed,female,1992
12T,114,3,4,24.88068455735162,3.7125401293567184,mixed,female,1992
13S,114,2,5,22.909858769121023,3.5448308168033833,mixed,female,1992
13S,12,2,5,21.601475855239453,4.494171957804955,mixed,female,1992
13U,114,3,3,21.626321805978925,3.776529964347956,mixed,female,1992
13U,12,3,3,18.960845491581644,4.7455100023056405,mixed,female,1992
14K,114,3,12,28.629190598654613,3.7531356575831896,mixed,female,1992
14K,12,3,12,28.649150000564493,4.654927717100235,mixed,female,1992
14Q,12,5,7,24.60189940176436,4.7801006715468395,mixed,female,1992
14Q,114,5,7,27.691265334650343,3.842253393196671,mixed,female,1992
15M,12,4,10,27.268145389684364,4.72318851797424,mixed,female,1992
15M,114,4,10,27.755785991111747,3.7886198171543715,mixed,female,1992
15R,12,3,6,20.945213656313534,4.682757382803288,mixed,female,1992
15R,114,3,6,22.32644453604501,3.7478007258101074,mixed,female,1992
15T,12,3,5,26.460410585586793,4.720367733337275,mixed,female,1992
15T,114,3,5,26.904228484024163,3.7598588503703336,mixed,female,1992
15V,12,3,2,15.807589712213087,4.638684187351339,mixed,female,1992
15V,114,3,2,19.24058929336926,3.690308781590211,mixed,female,1992
16K,114,3,12,24.16708494006049,3.917679827341076,mixed,female,1992
16K,12,3,12,23.41856548497576,4.9067184395953625,mixed,female,1992
16L,114,3,11,32.66138130947657,3.585587429189673,mixed,female,1992
16L,12,3,11,33.20107517263058,4.489949001091631,mixed,female,1992
16M,114,3,10,24.014789589713537,3.6997242626140956,mixed,female,1992
16M,12,3,10,21.22310712442125,4.6467883380459645,mixed,female,1992
16U,114,3,3,22.295405516005005,3.8671654329368845,mixed,female,1992
16U,12,3,3,20.197361989929792,4.854889977782586,mixed,female,1992
17Q,12,2,7,25.20997954740388,4.657184285728948,mixed,female,1992
17Q,114,2,7,25.77950642595901,3.712288704887006,mixed,female,1992
17U,114,3,4,25.9139674158568,3.7314441320412577,mixed,female,1992
17U,12,3,4,24.20272903573642,4.688927294023448,mixed,female,1992
18M,114,2,11,32.901160392978326,3.746299667454694,mixed,female,1992
18M,12,2,11,33.060593208643226,4.710346151144446,mixed,female,1992
19M,114,3,10,26.352206539028913,3.8131157395371424,mixed,female,1992
19M,12,3,10,26.12786778429802,4.741044018246049,mixed,female,1992
19P,114,3,8,28.470582746467066,3.6761872435236143,mixed,female,1992
19P,12,3,8,28.102264446774726,4.602500537345478,mixed,female,1992
19U,114,3,3,23.15686879204799,3.7555206354385575,mixed,female,1992
19U,12,3,3,21.313324598035866,4.694270570974111,mixed,female,1992
1J,12,2,14,21.341290086653864,4.840099065596101,mixed,female,1992
1J,114,2,14,23.04308272105724,3.871589974980661,mixed,female,1992
1Q,114,4,8,24.09649979233148,3.802562369089105,mixed,female,1992
1Q,12,4,8,23.52192211815433,4.704761958221008,mixed,female,1992
